Unnamed: 0,length,min_row,min_col,max_row,max_col
15,34,2591,2289,2623,2314
16,33,2653,1387,2684,1411
19,31,2664,1911,2695,1932
23,22,2702,2550,2721,2570
30,28,4191,3517,4202,3545
31,26,4202,4187,4219,4212
35,41,4388,1722,4423,1757
38,27,4422,2659,4427,2686
43,40,4440,948,4478,977
44,31,4453,1284,4472,1296
53,45,8370,4817,8385,4844
55,35,8622,2692,8636,2718
61,26,10011,5806,10036,5830
63,15,10115,3555,10123,3564
65,33,10134,4336,10167,4348
68,24,10313,2031,10337,2050
69,34,10313,2746,10345,2776
70,32,10329,2296,10349,2315
72,27,10348,1132,10375,1155
73,35,10352,2816,10378,2842
75,20,10370,1688,10381,1707
2,32,2377,5545,2409,5551
3,16,2404,4304,2417,4319
4,31,2417,4705,2433,4721
8,15,2622,649,2637,658
9,22,2656,3158,2678,3176
11,31,2673,1189,2704,1196
18,48,4086,4146,4126,4154
21,6,4095,753,4096,759
28,23,4127,4801,4147,4822
29,34,4136,5134,4170,5155
30,36,4140,4981,4161,5017
34,31,4187,5814,4193,5845
35,73,4320,1577,4378,1592
41,70,4384,2012,4418,2053
45,61,4420,2440,4447,2488
62,18,8281,4390,8296,4407
69,28,8473,1858,8501,1869
71,22,8507,2490,8529,2495
72,34,8515,1251,8536,1262
73,32,8519,2975,8535,2992
74,32,8537,3115,8553,3133
88,31,10124,5243,10155,5252
107,23,10288,3176,10311,3186
3,66,6906,5540,6948,5595
5,79,6910,4632,6920,4680
10,59,6935,4091,6981,4109
14,17,7173,3278,7190,3285
21,61,8623,4836,8671,4851
22,40,8628,3824,8667,3841
24,40,8683,5688,8722,5706
30,33,8718,4342,8738,4365
34,30,8843,2990,8873,2998
36,33,8849,2679,8878,2684
1,38,7673,4804,7710,4833
7,38,7762,5827,7767,5865
10,68,7805,4014,7854,4030
11,32,8049,3200,8080,3224
12,27,8088,3322,8095,3349
13,46,8092,2666,8130,2681
15,18,8191,995,8197,1013
24,68,9452,5093,9505,5117
27,40,9491,5653,9531,5668
28,49,9499,3811,9539,3822
30,43,9541,3464,9581,3490
35,29,9705,1386,9729,1406
37,43,9713,2983,9756,2988
42,36,9756,2667,9792,2671
6,47,2188,1507,2235,1515
7,35,2216,2721,2251,2740
8,27,2225,2775,2249,2791
9,34,2240,1673,2246,1707
10,35,2243,1220,2247,1255
12,37,2248,1936,2265,1973
13,22,2248,2296,2269,2301
21,33,3656,4858,3685,4868
22,20,3687,4089,3690,4109
25,18,4101,2695,4119,2698
4,38,1816,6183,1854,6189
6,57,1843,4701,1893,4722
7,29,1885,4505,1905,4534
9,55,1900,5880,1944,5929
10,32,1909,3978,1941,3997
11,44,1913,3697,1946,3717
14,34,2206,2847,2236,2869
17,50,2220,2139,2270,2147
18,49,2224,2350,2254,2395
35,29,3588,4361,3610,4388
36,39,3598,3742,3609,3768
37,28,3612,4607,3632,4629
39,44,3634,4069,3649,4103
40,21,3643,5084,3660,5101
41,42,3645,5967,3682,6006
44,26,3899,3326,3922,3332
47,42,3940,3371,3972,3383
48,20,3944,2608,3964,2618
72,69,7926,5836,7975,5851
73,32,7974,4068,8003,4087
74,54,7991,3870,8020,3886
2,28,1984,5376,2012,5385
3,15,1993,5258,2008,5268
7,20,2034,4921,2043,4941
8,45,2035,7148,2070,7171
9,34,2041,6016,2054,6040
10,23,2043,4609,2056,4630
21,25,2177,3838,2200,3846
23,52,2192,2233,2244,2237
38,35,3616,4958,3643,4989
39,42,3622,6396,3664,6402
40,54,3634,6822,3654,6865
41,28,3638,5376,3665,5398
45,23,3670,6082,3692,6102
50,34,3945,4041,3970,4061
69,31,8172,6534,8197,6550
70,27,8176,6219,8197,6228
71,20,8183,5615,8203,5622
83,18,9982,5273,10000,5276
87,20,10021,5833,10032,5853
89,32,10038,6766,10062,6793
90,33,10218,4210,10251,4217
5,40,8221,5426,8261,5430
6,44,8231,4559,8270,4575
7,41,8247,5229,8288,5256
8,32,8249,3376,8279,3397
9,38,8257,3851,8295,3855
10,36,8258,4714,8294,4725
13,36,8517,3010,8553,3019
14,38,8534,2682,8567,2709
15,32,8554,2069,8584,2097
19,33,8591,1485,8602,1514
21,32,8596,3210,8613,3241
22,59,8597,1712,8616,1756
23,29,8611,2483,8638,2496
31,51,9940,4061,9987,4088
37,42,9987,4244,10029,4277
39,38,9989,4391,10024,4418
42,45,10005,3435,10026,3475
44,36,10012,5083,10043,5114
47,67,10460,3278,10506,3287
